,state_name_x,name_of_city,description of the city_x
174,MAHARASHTRA,Gondiya ,"Gondia (also spelled Gondiya) is a city and municipal council in the Indian state of Maharashtra which serves the administrative headquarters of the eponymous administrative district. Gondia is also known as Rice City due to the abundance of rice mills in the area. Tirora (33km) is only nearby city to Gondia. Sharing the borders with Chhattisgarh and Madhya Pradesh, this destination dwells in close proximity to the prominent wildlife reserves such as Nagzira Wildlife Sanctuary and Navegaon National Park. Gondia, being serene and picturesque is ideal for family holiday and as a honeymoon destination."
175,UTTAR PRADESH,Gorakhpur ,"Gorakhpur was a part of the famous kingdom of Koshal, one of sixteen mahajanpadas in 6th Century B.C. The earliest known monarch ruling over this region with his capital at Ayodhya was IKSVAKU, who founded the solar dynasty of Kshatriya. Gorakhpur has been the land of ancient glory and medieval mysticism. It is endowed with magnificent monuments / temples ofÂ Gorakhpur takes its name from Gorakhnath, who was a saint and travelled widely across India and authored a number ofÂ Kapilvastu district, is one of the districts of Province No."
176,ANDHRA PRADESH,Greater Hyderabad ,"Hyderabad, city, Telangana state, south-central India. It is TelanganaÂs largest and most-populous city and is the major urban centre for all of south-central interior India. From 1956 to 2014 Hyderabad was the capital of Andhra Pradesh state, but, with the creation of Telangana from Andhra Pradesh in 2014, it was redesignated as the capital of both states.

Hyderabad is located on the Musi River in the heart of the Telangana Plateau, a major upland region of the Deccan (peninsular India). The city site is relatively level to the gently rolling terrain, at an elevation of about 1,600 feet (500 metres). The climate is warm to hot and monsoonal (i.e., marked by wet and dry periods), with moderate annual precipitation. Most rain falls during the wet monsoon months of June to October. Pop. (2001) city (district), 3,829,753; urban agglom., 5,742,036; (2011) city (district), 3,943,323; urban agglom., 7,677,018.

History
Golconda Fort, Telangana, India
Golconda Fort, Telangana, India
Hyderabad: tomb of Mu?ammad Qu?b Shah
Hyderabad: tomb of Mu?ammad Qu?b Shah
Hyderabad was founded by the Qu?b Sh?h? sultans of Golconda, under whom the kingdom of Golconda attained a position of importance second only to that of the Mughal Empire to the north. The old fortress town of Golconda had proved inadequate as the kingdomÂs capital, and so about 1591 Mu?ammad Qul? Qu?b Shah, the fifth of the Qu?b Shahs, built a new city called Hyderabad on the east bank of the Musi River, a short distance from old Golconda. The Charminar, a grand architectural composition in Indo-Saracenic style with open arches and four minarets, is regarded as the supreme achievement of the Qu?b Sh?h? period. It formed the centrepiece around which the city was planned. The Mecca Mosque, which was built later, can accommodate 10,000 people. The mosque was the site of a bombing attack in 2007 that killed several Muslims and injured many others. The incident aggravated Muslim-Hindu tensions in the city, which has experienced periodic outbreaks of violence over the years. The city is noted for its monuments which includes the masterpiece of Charminar and the fort of Golconda. There are a multitude of masjids, temples, churches and bazaars in the city. Hyderabad is the capital and largest city of the South Indian state of Telangana. It was ruled by the Qutub Shahis, Mughals and the Nizams which shaped its history. The city is noted for its monuments which includes the masterpiece of Charminar and the fort of Golconda. There are a multitude of masjids, temples, churches and bazaars in the city.

The tourism industry forms an important role in the economy of Hyderabad. Tourism-related fairs are held regularly,[1] and in 2010, the city was listed among the Beta- World City by the global city index produced by GaWC,[2] and in 2011 the city was rated 19th in the world by The New York Times in The list of 41 Places to Go in 2011.[3] It was ranked 3rd Best City to Travel in 2013 by Lonely Planet.[4] As of 2011, the tourism promotion budget for the city was increased to ? 520 million. Telangana, which is India's top domestic tourist destination, receives up to 157 million visits,[5] and reached 1.5 million international tourists, which generated US$23 million in revenue.[5] The city houses famous historical sites including Charminar, UNESCO Asia Pacific Heritage site of the Chowmahalla Palace,[6] Salar Jung Museum (among the world's largest private collection museums) as well as art galleries, libraries, sports complexes, museums and theaters. It is the place of nawabs.

Hyderabad is known as The City of Pearls, as once it was the only global centre for trade of large diamonds, emeralds and natural pearls.[7] Many traditional and historical bazaars are located around the city.[8][9] The Laad Bazaar situated near Charminar has shops that sell pearls, jewellery[8] and products such as silverware, Nirmal, Kalamkari paintings and artefacts, bidriware, lacquer bangles studded with stones, saris, handwoven materials in silk and cotton."
177,MAHARASHTRA,Greater Mumbai ,"Indigenous tribals have inhabited Mumbai (Bombay) since the Stone Age.[citation needed] The Kolis and Aagri (a Marathi-Konkani people)[1] were the earliest known settlers of the islands. The Maurya Empire gained control of the islands during the 3rd century BCE and transformed them into a centre of Hindu-Buddhist culture and religion.[citation needed] Later, between the 2nd century BCE and 10th century CE, the islands came under the control of successive indigenous dynasties: the Satavahanas, Abhiras, Vakatakas, Kalachuris, Konkan Mauryas, Chalukyas, Rashtrakutas, Silharas& Cholas.[citation needed]

Rajendra Chola's conquest over Mumbai which was at that time 7 islands was mentioned in the meikeerti of Rajendra Chola .....

Bhima of Mahikavati established a small kingdom in the area during the late 13th century, and brought settlers.[citation needed] The Delhi Sultanate captured the islands in 1348, and they were later passed to the Sultanate of Guzerat from 1391. The Treaty of Bassein (1534) between the Portuguese viceroy Nuno da Cunha and Bahadur Shah of Gujarat, placed the islands into Portuguese possession in 1534.

The islands suffered the Maratha Invasion of Goa and Bombay, and the Mughal invasions of Konkan (1684) towards the end of 17th century.[citation needed] During the English East India Company's rule in mid-18th century, it emerged as an important port city, having maritime trade contacts with Mecca, Basra etc.[citation needed] Economic development characterised British Bombay in the 19th century, the first-ever Indian railway line commenced operations between Bombay harbour and Taana city in 1853. Since the early 1900s, the city has also the home base of the Bollywood film industry. The city became a strong base for the Indian independence movement during the early 20th century, it was the centre of the Rowlatt Satyagraha of 1919 and Royal Indian Navy Mutiny of 1946.[2] After India's independence in 1947, the territory of Bombay Presidency retained by India was restructured into Bombay State. The area of Bombay State increased, after several erstwhile princely states that joined the Indian union were integrated into Bombay State.

In 1960, following protests from the Samyukta Maharashtra movement, the city was incorporated into the newly created Maharashtra state from Bombay state. The Bombay metro area faced some unfortunate events like the inter-communal riots of 1992Â93, while the 1993 Mumbai bombings caused extensive loss of life and property. Bombay was renamed Mumbai on 6 March 1996. Mumbai offers natural heritage and modern entertainment including leisure spots, beaches, cinemas, studios, holy places, amusement parks and historical monuments"
178,UTTAR PRADESH,Greater Noida ,"Greater Noida is a planned city located in Gautam Buddha Nagar district of the Indian state of Uttar Pradesh.[6] The city was created as an extension to Noida area under the UP Industrial Area Development Act, 1976.[7] Situated 30 km (19 mi) south-east of the capital city of New Delhi, it takes around 30 minutes to travel between the cities via the Noida-Greater Noida Expressway. The city is administered by Greater Noida Industrial Development Authority (GNIDA). What is Greater Noida famous for? The township is famous for its business parks, temples and malls. Some of the best places to visit in Greater Noida are: Buddh International Circuit"
179,ANDHRA PRADESH,Gudivada ,"Gudivada is a city in Krishna district of the Indian state of Andhra Pradesh. It is a municipality and the headquarters of Gudivada mandal in Gudivada revenue division.[2][3] It is one of the cities in the state to be a part of Andhra Pradesh Capital Region.[4] It is the twenty-seventh most populous city in Andhra Pradesh and the three-hundredth most populous city in India with a population of 118,167 according to the 2011 Census of India. Walk around Gudivada and it will feel like you have been transported back in time. While many historic monuments, artifacts and relics can be seen within the town, a number of the finds recovered during archeological excavations were taken to London to be displayed at the British Museum.

The most intriguing finds are perhaps the remnants of Buddhist stupas and the Jain relics found in the district.

Temples such as the Hanuman Temple, the Ayyappa Swamy Temple, and the Venkateshwara Swamy Temple stand peacefully next to the Bhagawan Parshvanath Jain Tirth, as do a number of other religious structures, such as churches and mosques.

Apart from religion, Gudivada also takes its sports quite seriously. After the Indira Gandhi Municipal Stadium in Vijayanagar, the NTR stadium in Gudivada is the best and largest one in the state. Catering to various sports including volleyball, cricket and kabaddi, this stadium is a source of pride for the locals."
180,KARNATAKA,Gulbarga ,"GULBARGA was known as 'KALBURAGI' in former days which means stony land in Kannada. Presently the district is once again known as 'KALABURAGI'. Kalaburagi district is situated in the northern part of Karnataka State. Officially known as Kalaburagi, this city is famous for its historical monuments, temples, tombs and delectable cuisine. Located at a distance of 623 kms from Bangalore, Gulbarga, the administrative headquarters of Gulbarga is laid out with rich cultural heritage dating back to the 6th century."
181,MADHYA PRADESH,Guna ,"Guna was a part of erstwhile Gwalior State during pre-independence period. It was not considered expedient to locate the district headquarters at Guna, because of its being the British Cantonment. The old name of the district was Issagarh. In 1909 some districts were reorganised. As a result of this the headquarters of Issagarh district were shifted from Issagarh to Bajranggarh then a tahsil place. However Guna was made the headquarters of the district on November 5, 1922, as it was more suited than Bajranggarh in respect of basic infra-structural facilities. The Agra-Bombay road passing through Guna had already been there and the Midland Railway constructed the railway line passing Guna in 1897.

The most prestigeous industrial establishment of the region, the National Fertilizers Ltd. Vijaypur near Guna has made rapid strides in recent years. It has placed Guna prominently on the industrial map of the country. A broadcasting station of All India Radio was opened at Guna on 10th April 1993. Situated on the banks of the River Parvati, Guna situated on the Malwa plateau of Madhya Pradesh boasts of a rich historical legacy. One of the most prosperous regions of Madhya Pradesh, Guna is a city that is progressing and yet holding onto its glorious past and peaceful, small-town character."
182,ANDHRA PRADESH,Guntakal ,"Guntakal is a City in Anantapur district of the Indian state of Andhra Pradesh. It is the headquarters of Guntakal mandal and Guntakal revenue division.It is also the headquarters of the Guntakal Railway Division in South Central Railway. Home to a number of shrines belonging to different religions, Guntakal is truly a pilgrim's paradise. You can be a part of the throng of devotees who flock the city and explore its divine delights. The temple of Lord Anjaneya Swamy is among the most popular shrines in Guntakal."
183,ANDHRA PRADESH,Guntur ,"Guntur, city, eastern Andhra Pradesh state, southern India. It lies on a lowland plain in the Krishna River delta.

The city was founded in the mid-18th century by the French, but in 1788 it was ceded to the British. It became a municipality in 1866. A railroad junction and trade centre, GunturÂs economy is dominated by the growing of jute, tobacco, and rice. Guntur is the site of an agricultural research station. Andhra Christian College (founded 1885) is affiliated with nearby Achariya Nagarjuna University, while a government college, a medical college, and several other colleges are affiliated with Andhra University in Vizianagaram. Nearby is a ruined 12th-century hill fortress. Guntur is an important tourist destination of Andhra Pradesh and is famous for Kondaveedu Fort, the Undavalli caves, Amaravati, Uppalapadu Gardens and Prakasam Barrage to name a few. Guntur has a tropical climate like most other cities in the state and experiences very hot summers and moderately mild winters."
184,HARYANA,Gurgaon ,"The Gurgaon District has been in existence since the times of Mahabharta. It is said that Yudhishter, the eldest brother among the Pandavas, gave the village to his guru, Dronacharya, whose tank still exists on the west side of the Railway Road. The name ÂGURGAONÂ also derived from the Village of Guru (teacher) & the actual village is about 1.5 Km. away from Gurugram town, where the temple of SHEETLA MATA is located.

Gurgaon was historically inhabited by the Hindu people, and in early times it formed a part of an extensive kingdom ruled over be Ahir clan. During AkbarÂs reign, Guruggaon fell within the governing regions of Delhi and Agra. As the Mughal empire started to decline, the place was torn between late Mughals & Marathas. By 1803 most of it came under British rule through the treaty of Surji Arjungaon with Gwalior State.  It becomes a part of the district, which was divided into units called Parganas. These units were given to petty chiefs for the military service rendered by them.

Eventually, these units came under the direct control of the British & after the revolt of 1857, it was transferred from the North-Western provinces to Punjab province. In 1861, the district, which Gurugram was a part of was rearranged into five tehsils: Gurgaon, Ferozepur Jhirka, Nuh, Palwal, and Rewari (10) and the modern-day city came under the control of Gurgaon tehsil. in 1947, Gurgaon became a part of independent India and fell under the Indian state of Punjab. In 1966, the city came under the administration of Haryana with the creation of the new state. Gurgaon is India's second largest information technology hub and third largest financial and banking hub. Gurgaon is also home to India's largest medical tourism industry. Despite being India's 56th largest city in terms of population, Gurgaon is the 8th largest city in the country in terms of total wealth."
185,ASSAM,Guwahati ,"Guwahati, formerly Gauhati, city, western Assam state, northeastern India. It lies along the Brahmaputra River (there bridged) and is picturesquely situated with an amphitheatre of wooded hills to the south.

Guwahati was the capital of the Hindu kingdom of Kamarupa (under the name of Pragjyotisa) about 400 CE. In the 17th century the town repeatedly changed hands between the Muslims and the Ahoms (a Tai-speaking people who had migrated from Yunnan province, China, and ruled much of Assam from the 13th century CE) until it became the seat of the Ahom governor of Lower Assam in 1681; in 1786 the Ahom raja made it his capital. The Myanmar (Burmese) held Guwahati from 1816 until 1826, when it became the British capital of Assam. The capital was moved 67 miles (108 km) south to Shillong in 1874.

Guwahati is an important river port and AssamÂs principal commercial centre. It has an oil refinery and a state farm, and its industries include tea processing, milling of agricultural products, and soap manufacturing. Gauhati University (founded 1948), Earle Law College, the state high court, the state museum, several scientific museums, and a zoological garden are located there. Several Hindu pilgrimage centres and temple ruins are nearby. Guwahati is served by an airport and a rail line. Manas Wildlife Sanctuary (or Manas National Park), designated a UNESCO World Heritage site in 1985, is about 60 miles (100 km) northwest of the city. Some of the key attractions for tourists in Guwahati include a river cruise on the Brahmaputra that provides an excellent view of sunrise and sunset, a trip to the Umananda temple, Srimanta Sankaradeva Kalakshetra and Assam State Museum. The most popular tourist spot in Guwahati is the Kamakhya Devi temple. The capital city of Assam and home to the world famous one-horned rhinoceros, Guwahati is one of the best places to visit in the northeast of India. With the mighty Brahmaputra River flowing through it and nature's abundant beauty, you'll be spoilt for choice in this charming city."
186,MADHYA PRADESH,Gwalior ,"Gwalior remained the capital of Central India from 1957 to 1956, but when Central India was added to Madhya Pradesh, it was given the shape of a district.

This district was named after a famous fort. The name of this famous fort was derived from the name of hill. This flat summit mountain was called Gopachal, Gopagiri, Gop Parvat or Gopadri. The word Gwalior is coined from it.

The history of Gwalior was traced to the 8th century AD. Is planted in, Suraj Sen was suffering from a fatal disease and cured by a sage-saint Gwalipa. In gratitude for that event, he established the city under his own name.

The new city of Gwalior has existed for centuries. The cradle of great dynasties ruled the city of Gwalior. Along with various dynasties, the city gained a new dimension from warrior kings, poets, musicians and saints who contributed to making it famous throughout the country. The city is also established for the monuments of freedom fighters like Tatya Tope and the indomitable queen of Jhansi. One of the most beautiful cities of Madhya Pradesh in India, Gwalior is very famous for its marvellous palaces, old temples and the medieval fort. Being the birthplace of the great musician Tansen, the city is also highlighted for its majestic history and rich cultural heritage. Gwalior is best known for its imposing hilltop fort, which was famously described as 'The pearl amongst fortresses in India'. The city stands as the testimony of dynasties that ruled over the decades. Their influence is clearly seen in the many regal structures that dominate the cityscape."
187,BIHAR,Hajipur ,"Hajipur (/?h??d??p??r/,[9] Hindi: ['?a?d?i?p?r] (listen)) is the headquarters and largest city of Vaishali district of the state of Bihar in India. Hajipur is the 16th most populous city of Bihar, besides being the second-fastest developing city, next to Patna. It had a total population of 1.47 lakh as per census 2011.[10] Vaishali district is ranked 8th among 38 districts in Bihar in terms of growth.[11][12]

The city is known for cultivating Bananas.[13] Patna, is only 10 km (6.2 mi) from Hajipur, with the cities separated by the Ganges river. The metropolitan region of Patna comprises the Patna Regional Development Authority (PRDA) area includes Hajipur under Bihar Urban Infrastructure Development Corporation.[14][15][16] Mahatma Gandhi Setu, one of the longest bridges in the world at 5.75 kilometres (3.57 mi) links Hajipur to Patna.[17][18] After Patna, it is the fastest-developing city in Bihar, primarily because of its proximity to Patna. Hajipur lies on the north bank of the Ganga while Patna lies on the south, the Gandhi Setu bridge connects both cities. Another bridge, the DighaÂSonpur Bridge,[19][20] which crosses the Ganga north-west of Patna, narrows the distance between Hajipur and Patna. There have been plans to expand Patna to Greater Patna, which would entail absorbing Hajipur and other surrounding towns.[21][22]

The area of Hajipur city is spread across 19.64 km2 (7.58 sq mi). The city is divided into 39 Wards. Hajipur is the only twin city of Patna and lies nearest to the capital and shares most of its government works, headquarters, educational institutions. Being another district headquarters, it is equal to the capital in terms of powers. Hajipur, known for its temples is the headquarters of Vaishali region of Bihar, a northern state of the country acknowledged for bananas production. It is situated at a distance of 10 Kms from state capital Patna and is linked to the city by Mahatma Gandhi Setu which is one of the worldÂs longest bridges. Hajipur enjoys the privilege of being situated in close proximity to Patna and hence it is the second most rapid developing urban subsequent to Patna and is drawing many people to the city because of the overwhelming opportunities available both in terms of urbanization and employment generation. The city houses numerous temples with each temple depicting its individual tale and distinguishing features that have fascinated tourists be it enthusiastic disciple or architecture freaks."
188,WEST BENGAL,Haldia ,"Haldia is an industrial port city in Purba Medinipur in the Indian state of West Bengal. It is a major river port and industrial belt located approximately 124 km (77 mi) southwest of Kolkata near the mouth of the Hooghly River, one of the distributaries of the Ganges. The Haldia Township is bordered by the Haldi River, an offshoot of the Ganges River. Haldia is a centre for many petrochemical businesses, and is being developed as a major trade port for Kolkata. The Haldia Township is bordered by the Haldi River, an offshoot of the Ganges River. Haldia is a centre for many petrochemical businesses, and is being developed as a major trade port for Kolkata."
189,RAJASTHAN,Hanumangarh ,"Hanumangarh, also called Sadulgarh, city, northern Rajasthan state, northwestern India. It lies on the right bank of the Ghaggar River about 30 miles (48 km) southeast of Ganganagar.

Previously called Bhatner (ÂThe Fortress of the Bhatti RajputsÂ), it became Hanumangarh in 1805 when it was annexed by the princely state of Bikaner. The city with its fort was taken by the Mongol conqueror Timur (Tamerlane) in 1398. It subsequently changed hands several times.

Hanumangarh is connected by rail with Ganganagar and with Bikaner and Jodhpur to the south. The city is an agricultural market centre where cotton and wool are woven on hand looms. It has several colleges affiliated with the University of Rajasthan in Jaipur. Located around 400 km from Delhi, Hanumangarh is a city best known for its temples and its historical significance given that it was once part of the Indus Valley Civilization. Recent excavations in the area have revealed some stunning artefacts belonging to an era of great significance to human history. "
190,WEST BENGAL,Haora ,"Haora, also called Habara or Howrah, city, east-central West Bengal state, northeastern India. It lies along the west bank of the Hugli (Hooghly) River directly opposite Kolkata (Calcutta).

Rabindra Setu
Rabindra Setu
Haora is KolkataÂs largest satellite city and is the second largest city in West Bengal state. Haora has major Grand Trunk Road connections and is the eastern terminus of major rail lines traversing eastern, northern, and central India. The city is connected to Kolkata across the Hugli River by the massive and heavily traveled Haora (1943) and Hugli (1987) bridges. HaoraÂs river port is lined with shipbuilding and ship-repair docks, and on the riverbank and elsewhere are jute, flour, rice, oilseed, and cotton mills; sawmills; iron and steel rolling mills; and factories making chemicals, glass, hosiery, cigarettes, and batteries.

Sibpur, a southern suburb of Haora, contains light industry and railway workshops, as well as a botanical garden founded in 1786. Constituted a municipality in 1862, Haora has several colleges. The city is situated in a deltaic alluvial tract intersected by numerous rivers, which flood during the rainy season. The second-largest city of West Bengal, Howrah, is Kolkata's twin city. Chief among the places of interest for the wandering traveller is the iconic cantilever Howrah Bridge. It is the sixth-longest bridge of its kind in the world having an overall length of 2150 ft with a single span of 1500 ft."
191,UTTAR PRADESH,Hapur ,"Hapur is said to have been founded in the tenth century.[4][5]

Hapur is listed in the Ain-i-Akbari as a pargana under Delhi sarkar, producing a revenue of 2,103,589 dams for the imperial treasury and supplying a force of 300 infantry and 4 cavalry.[6]

It was granted by Daulat Scindia to his French general Pierre Cuillier-Perron at the end of the 18th century. Under the British Raj, Hapur was within Meerut District, was surrounded by several fine groves, and carried on considerable trade in sugar, jaggery (gur), grain, cotton, timber, bamboo, and brass and steel utensils.[4] The important cavalry remount depot and farm of Babugarh adjoined the town.[5] Earlier it was within Ghaziabad district but in 2012 it became a separate district. It comes within Meerut commissionaire. The city of Tumrail in Hapur district has a number of old temples that are visited by many across the country. These include the Shiv mandir, the Shani mandir, the Sai mandir and many more. Other places of religious worship and pilgrimage destinations include the Sabli Shiv Mandir, Garhmukteshwar and Chandi Mandir. Each of these temples is over 500 years old and devotees believe the resident deities to be extremely powerful.

There a few Buddhist and Jain temples around the area, as well as dargahs and churches.

Among the ancient monuments in Hapur, the most famous one is the Kuchesar Mud Fort. Built by the Jat rulers in the 18th century, the mud fort is surrounded by lush greenery and blooming flowers. The fine architecture of the fort combined with the scenic environs is what attracts people to it.

Though a little further away, the grand Neemrana Fort is also worth checking out if youÂre visiting or passing through Hapur."
192,UTTAR PRADESH,Hardoi ,"According To General Conventions Hardoi District Is Related With ÂHIRNAKASHYAPÂ Its Present Name Hardoi Is A Distorted Version Of Its Earlier Name ÂHARIDROHI Â. In View Of Some People This District Was Colonized By Hardevbaksh And Just Because Of This Reason There Is An Old Locality Hardevganj Exists In The City. Mallawa, Bilgram, Pihani, Shahabad, Sandila & Ruiyaa Are The Places Of Historical Significance. According To Some Historians Mallawa Was Colonized By Buddhists While Some Believed That Sayyed Salar Masood Gazi Came Here. Earlier This Area Mallawa Was District Headquarter. The Ancient Name Of Bilgram Is ÂSRINAGARÂ Its Present Name Bilgram Was Given By Some Associates Of .Mahmood Gajnavi.Pihani Is Derived By Persian Word Pinhani (Place Of Shelter), It Is Believed That King Of Moughal Dynasty Humayun Took Shelter In The Forest Of Pihani When He Was Defeated By Shershah Suri. Pihani Is Also Related With The Minister Sadarejahan Of Emperor Akbar. His Tomb And Paintings Are Still Here.According To The View Of Some People, Sandila Was Colonized By Rishi Sandilya. Sandila Is Also Famous For Old Buildings,Mosque & Barakhamba. Hardoi district is known for cloth weaving and making products like loin-cloth, gamcha, shirts and more. The weavers in the Mallawa region manufacture products worth 70 crores every year. This sector provides employment to approximately five thousand weavers."
193,UTTARAKHAND,Hardwar ,"Haridwar, also spelled Hardwar, city, northwestern Uttarakhand state, northern India. Haridwar lies along the Ganges (Ganga) River, at the boundary between the Indo-Gangetic Plain (south) and the Himalayan foothills (north). It is the site of the headworks of the Ganges Canal system.

Haridwar is one of the seven sacred cities of the Hindus and is a major pilgrimage centre. It has been known by many names; originally it was called Kapila, for the sage who once lived there. Its present name means ÂDoor to HariÂ; Hari is one of the names of Vishnu, a principal deity of Hinduism.

Haridwar, India
Haridwar, India
HaridwarÂs chief object of pilgrimage is Har-ki-pauriÂthe bathing ghat, or steps, along the riverÂwhich has what believers consider to be a footprint of Vishnu impressed into a stone. Large numbers of pilgrims gather there annually at the beginning of the Hindu solar year in April; the Kumbh Mela (a Hindu religious festival) is held every 12th year in Haridwar. The Daksha Mahadev temple, another important pilgrimage site, lies 2 miles (3 km) downstream at Kankhal. The Indian Institute of Technology at Roorkee is the oldest civil engineering college in Asia. One of the holiest pilgrimages in India, Haridwar, or the 'gateway to gods', is located where Ganga, the sacredest of all Indian rivers, enters the Indo-Gangetic plains. Located at the foothills of the Himalayas, Haridwar is a city of temples and ashrams and its pious ambience envelops everyone. "
194,KARNATAKA,Hassan ,"Hassan district was the seat of the Hoysala Empire which at its peak ruled large parts of south India from Belur as its early capital and Halebidu as its later capital during the period 1000 - 1334 CE.[1]

The district is named Hassan after the Goddess ""Haasanamba"", the goddess and presiding deity of the town. The history of Hassan district is essentially the history of two of the well known dynasties that have ruled Karnataka, the Western Ganga Dynasty of Talkad (350 - 999 CE) and the Hoysala Empire (1000 - 1334 CE). In the 15th and 16th centuries, the Vijayanagar kings patronised Chennakesava of Belur as their family deity. It was also ruled by Adilshahis of Bijapur and Mughal Empire after decline of the Vijayanagar. In the 17th and 18th centuries, Hassan became a land of contention between the Keladi Nayakas of Shimoga and the Mysore Kingdom. It finally merged as an independent Mysore kingdom. Hassan is mainly famous for its age-old temples like Lakshmi Narsimha Temple, Kedareshwar Temple, and Hoysala Temples. They represent the history and cultures of Hassan very well."
195,NCT OF DELHI,Hastsal ,"According to legend, this area was once submerged in water and elephants used to rest here. In Hindi, elephants are known as ""Hathi"" and place is known as ""Sthal""; hence, Hastsal - the resting place of elephants.[1]

In the 17th century Mughal Emperor Shahjahan had a hunting lodge in Hastsal. 1650, he built the Mini Qutub Minar close to his hunting lodge.[2] The Minar is a 55-foot (17 m) high minaret tower, locally popular as Hastsal ki Laat or the Hastsal Minaret. It is now situated at corner of Hastsal village and is popularly known as the Laat (Pillar). The minaret and hunting lodge, both still exist but lay abandoned and crumbling. The minaret closely resembles the Qutub Minar in design. Delhi is the city filled with most Mughal era architecture, some left tall, some are fade into the oblivion, some succumb to the wrath of time. Minar in  the Hastsal village is one such unfortunate monument which has faded into oblivion. It is forgotten to such an stage that even locals of the neighbourhood are not aware of its presence. Known to be a hunting ground for the Mughal emperor Shah Jahan during the end of 17 century. He is attributed to built the monument which resembles the famous Qutub Minar. Referred as mini Qutub Minar, the monument is today covered by hundreds of houses, shrinking the area of Minar complex. The top two floors of the monuments have suffered badly the decay over the time but the Minar still stands tall. There was a trust to a lake around but with modern day construction all around the complex, the possibility of  existence of lake is bleak. HISTORY OF THE ATTRACTION If we believe in the oral past then Hastsal used to be submerged underwater and it was the place where the elephants used to come to bathe. Literally meaning of the word Hastsal translates to the resting place of elephants. That area was a hunting ground of Mughal emperor Shah Jahan, who commissioned to built of mini Qutub Minar."
196,UTTAR PRADESH,Hathras ,"History. Hathras became a district on 6 May 1997 with the merging of some Tehsils of Aligarh and Mathura. Hathras falls under the Braj region of Northern India and is famous for its industrial, literary, and cultural activities as a part of Aligarh. It has been an industrial centre since the British Raj era. The Hathras Fort is the most visited place which represents the city's glorious history. The fort was built during the reign of Raja Dayaram Singh in around the 18th century. Though the old fort was destroyed with time, a new royal fort was made at the same place."
197,RAJASTHAN,Hindaun ,"In the ancient time Hindaun came under the Matsya kingdom. There are many ancient structures still present in the town built during the regime of Matsya Kingdom. Traditionally in some mythological stories the town is believed to be associated with the mythology of Hiranyakashipu and Prahlada mentioned in Bhagavata Purana.

Hindaun is named after the name of ancient ruler king Hiranyakashipu, father of Prahlada. The temple to Narasimha, an Avatar of Hindu God Vishnu who killed Hiranyakashipu, along with the historic Prahalad Kund (now in dilapidated condition) demonstrates the town's connection to the mythology surrounding Hiranyakashipu and Prahlada.[1]

During the start of April 2018, Hinduan was subjected to curfew in response to caste-related violence. Hindaun is located in the Karauli District of Rajasthan State. This city is getting popular as it has become one of the important centers of stone industry. Hindaun is also very famous for its significant religious and historical monuments. The city has been associated with ancient civilizations of India."
198,ANDHRA PRADESH,Hindupur ,"Hindupur is a city in Sri Sathya Sai district of the Indian state of Andhra Pradesh. It is located to the edge of the AndhraÂKarnataka border and is the headquarters of Hindupur mandal. Hindupur is the biggest Parliamentary Constituency in the newly formed District Sri Sathya Sai. It is located about 67 km from district headquarters Puttaparthi, 100 km from Bengaluru the capital of Karnataka, 95 km From Kadiri.[3][2]

As of 2011, Hindupur municipality had a population of 151,835.[2] It is an important local pilgrimage center with a number of temples in and around the city, including Sri Peta Venkata Ramana Swamy Temple, Sree Vasavi Kanyaka Parameshwari Temple, Guddam Sri Ranganath Swamy Temple, Sugur Sri Anjaneya Swamy Temple, and the historical Lepakshi Sri Veerabhadra Swamy Temple.

Hindupur is connected with the major cities in the region by road and by train. This includes National Highway 44, Bangalore Highway, Parigi Road, Lepakshi Road, Kadiri SH-61 Road (proposed to be a four lane highway in 2022), and Penukonda Road. Hindupur Railway Station (code Â 'HUP') in the Bengaluru City Railway Station(KSR Bengaluru) stretch of the South Western Railway zone is one of the busiest in the route. The PenukondaÂHindupur and Hindupur Industrial Area maintained by Andhra Pradesh Industrial Infrastructure Corporation and Hindupur's surrounding stretch has a number of industries involved in manufacturing, pharmaceutical, automobile and IT which makes Hindupur as industrial town in State. Recently Union Finance Minister Nirmala Sitaraman laid foundation stone for construction of National Academy of Customs Indirect Taxes and Narcotics at Hindupur. Hindupur Â The City of Gold. Named after Maratha king Hindoji Rao, Hindupur in the Anantpur district of Andhra Pradesh is known for its production of sugar, jaggery, iron, and precious gems such as rubies and sapphires."
199,MAHARASHTRA,Hinganghat ,"Hinganghat is 1500 years old. The City was named Dandungram in the century 5 CE. Reign of Rani Prabhavati Gupta, the queen of the Vakataka Dynasty, was also here. The new name Hinganghat fall because of the availability of Hing (assafoetida) trees and ghats of the Vena river. The Development of Hinganghat was followed by the British and the Municipal Council of Hinganghat which was established on 17 May 1873. The first water tank here was built in 1873. The Municipal Council's Hall was built in 1904. The first Election of the Municipal Council was held in the year 1927. The Wena Dam was created by Municipal Council. Presently, seven water tanks are available. The city was historically a major centre of cotton and soyabean oil. Presently, Hinganghat is the largest industrial hub in Wardha District and ranking 4th in the Nagpur Division. The Dal mills and oil mills are also available here. Hinganghat is home to the world's largest statue of Lord Pandurang, which is 16 metres (52 ft) tall. Bansilal Kochar developed the Jain temple in 1955. The decorations of the temple are made of glass. In Hinganghat, Garba is worshipped in Mata Mandir, ""a temple of Mata Devi""."
